Date,Open,High,Low,Close
2018-04-03,10665.39,10727.03,10644.58,10715.5
2018-04-04,10742.27,10753.36,10583.67,10597.7
2018-04-05,10681.39,10802.94,10675.99,10791.67
2018-04-06,10793.71,10825.54,10766.62,10804
2018-04-09,10818.06,10871.95,10795.9,10852.61
2018-04-10,10888.08,10904.61,10859.75,10882.03
2018-04-11,10909.8,10911.07,10836.36,10892.44
2018-04-12,10905.32,10957.65,10877.65,10938.92
2018-04-13,10963.91,11007.39,10938.03,10967.65
2018-04-16,10894.36,11023.2,10880.27,11012.61
2018-04-17,11036.26,11050.89,10986.84,11039.15
2018-04-18,11058.38,11095.89,11002.62,11022.71
2018-04-19,11043.83,11067.62,11039.94,11060.4
2018-04-20,11058.31,11081.19,11026.02,11062.87
2018-04-23,11090.41,11142.41,11030.51,11073.66
2018-04-24,11073.8,11131.42,11061.93,11105.15
2018-04-25,11098.7,11104.83,11022.21,11054.92
2018-04-26,11065.78,11125.34,11051.24,11115.93
2018-04-27,11128.53,11216.97,11127.92,11188.63
2018-04-30,11207.67,11267.64,11203.22,11244.63
2018-05-02,11293.19,11300.14,11190.57,11217.36
2018-05-03,11238.36,11238.36,11150.24,11178.49
2018-05-04,11191.05,11206.42,11103.04,11120.57
2018-05-07,11144.51,11226.23,11137.52,11212.9
2018-05-08,11252.5,11260.64,11194.47,11220.25
2018-05-09,11207.92,11268.67,11193.7,11241.63
2018-05-10,11253.41,11292.07,11204.19,11216.82
2018-05-11,11234.93,11330.6,11230.16,11314.19
2018-05-14,11320.5,11343.79,11283.76,11309.36
2018-05-15,11300.66,11439.89,11288.7,11306.81
2018-05-16,11279.16,11299.15,11204.39,11253.89
2018-05-17,11283.26,11289.51,11172.63,11190.84
2018-05-18,11189.49,11195.22,11082.83,11090.84
2018-05-21,11097.01,11126.7,11000.68,11011.38
2018-05-22,11004.09,11052.64,10983.16,11030.03
2018-05-23,11024.87,11026.19,10905.82,10918.68
2018-05-24,10939.78,11028.29,10909.44,11003.08
2018-05-25,11032.52,11129.1,11015.88,11102.24
2018-05-28,11156.65,11205.67,11134.37,11185.05
2018-05-29,11197.34,11212.16,11112.57,11124.5
2018-05-30,11100.66,11141.12,11054.96,11107.59
2018-05-31,11156.26,11252.29,11116.67,11227.57
2018-06-01,11245.94,11270.93,11178.99,11193.7
2018-06-04,11272.69,11286.66,11114.53,11124.42
2018-06-05,11128.17,11139.46,11047.53,11086.32
2018-06-06,11096.19,11196.97,11083.48,11182.05
2018-06-07,11210.18,11320.33,11210.18,11267.18
2018-06-08,11249.19,11281.14,11210.39,11270.05
2018-06-11,11276.41,11355.22,11276,11288.62
2018-06-12,11303.35,11362.06,11292.62,11347.12
2018-06-13,11388.1,11403.84,11352.74,11365.31
2018-06-14,11365,11369.32,11287.14,11319.12
2018-06-15,11335,11342.97,11264.08,11322.9
2018-06-18,11347.15,11352.21,11295.79,11305.38
2018-06-19,11304.69,11304.8,11208.28,11219.84
2018-06-20,11233.35,11291.7,11233.2,11285.59
2018-06-21,11313.57,11324.75,11237.6,11247.22
2018-06-22,11246.53,11344.8,11217.63,11329.62
2018-06-25,11353.1,11358.23,11255.85,11267.95
2018-06-26,11232.04,11318.56,11227.01,11278.63
2018-06-27,11293.46,11310.1,11163.04,11181.87
2018-06-28,11173.47,11190.9,11075.92,11097.91
2018-06-29,11125.17,11234.81,11118.33,11224.18
2018-07-02,11259.57,11269.23,11121.14,11172.54
2018-07-03,11194.34,11236.3,11144.93,11215.21
2018-07-04,11217.23,11293.97,11191.32,11285.66
2018-07-05,11300.99,11313.61,11246.22,11263.69
2018-07-06,11256.83,11335.42,11251.29,11285.61
2018-07-09,11337.85,11380.61,11326.33,11369.17
2018-07-10,11413.12,11474.82,11397.22,11464.41
2018-07-11,11479.84,11499.13,11445.62,11470.32
2018-07-12,11527.17,11605.49,11527.17,11547.86
2018-07-13,11576.38,11599.31,11524.89,11537.23
2018-07-16,11565.38,11565.38,11449.91,11459.42
2018-07-17,11483.58,11546.12,11447.54,11535.52
2018-07-18,11595.35,11606.15,11482.06,11500.65
2018-07-19,11538.47,11540.09,11459.97,11480.44
2018-07-20,11487.73,11549.8,11468.78,11529.45
2018-07-23,11538.38,11606.48,11535.4,11597.66
2018-07-24,11640.19,11667.65,11615.02,11653.12
2018-07-25,11681.52,11681.52,11630.41,11651.15
2018-07-26,11668.85,11710.05,11648.39,11687.55
2018-07-27,11764.3,11809.03,11737.76,11802.36
2018-07-30,11847.41,11855.42,11793.58,11845.01
2018-07-31,11857.5,11893.7,11790.7,11882.71
2018-08-01,11898.32,11915.29,11841.39,11870.19
2018-08-02,11873.86,11873.86,11761.1,11772.03
2018-08-03,11825.48,11892.4,11824.27,11883.89
2018-08-06,11928.69,11959.87,11901.48,11914.71
2018-08-07,11963.35,11969.76,11889.34,11912.16
2018-08-08,11942.63,11988.56,11909.58,11975.82
2018-08-09,12016.6,12031.71,11988.49,12007
2018-08-10,12017.24,12018.81,11944.21,11959.43
2018-08-13,11911.43,11940.63,11874.65,11889.62
2018-08-14,11921.32,11986.47,11906.14,11965.06
2018-08-16,11952.06,11988,11900.78,11913.95
2018-08-17,11982.35,12025.31,11971.42,12007.54
2018-08-20,12046.5,12114.38,12041.15,12097
2018-08-21,12123.03,12134.68,12084.33,12109.85
2018-08-23,12150.17,12170.95,12096.39,12132.31
2018-08-24,12142.87,12154.02,12077.56,12102.92
2018-08-27,12171.3,12252.2,12156.02,12242.52
2018-08-28,12282.18,12314.44,12264.4,12292.2
2018-08-29,12320.28,12320.28,12228.53,12240.59
2018-08-30,12263.69,12269.79,12193.98,12225.07
2018-08-31,12233.55,12282.77,12202.08,12230.81
2018-09-03,12312.9,12317.67,12119.51,12132.77
2018-09-04,12174.64,12190.37,12040.62,12061.7
2018-09-05,12072.38,12087.83,11928.44,12012.79
2018-09-06,12058.38,12096.76,11971.69,12070.66
2018-09-07,12096.99,12140.41,12020.02,12129.11
2018-09-10,12119.13,12120.33,11964.78,11975.66
2018-09-11,12010.4,12019.55,11792.11,11808.04
2018-09-12,11844.43,11910.28,11775.45,11900.63
2018-09-14,11969.77,12049.22,11961.67,12040.94
2018-09-17,12019.78,12019.78,11885.72,11896.72
2018-09-18,11917.37,11941.66,11784.39,11799.52
2018-09-19,11848.04,11874.07,11727.76,11749.86
2018-09-21,11801.8,11868.82,11348.85,11653.94
2018-09-24,11686.53,11694.22,11446.11,11468.7
2018-09-25,11479.82,11581.4,11380.77,11565.89
2018-09-26,11661.29,11662.15,11490.14,11542.99
2018-09-27,11587.8,11594.02,11446.19,11469.08
2018-09-28,11511.14,11534.03,11340.2,11418.76
2018-10-01,11434.2,11541.95,11323.23,11513.21
2018-10-03,11532.02,11532.02,11337.49,11356.77
2018-10-04,11304.87,11304.87,11028.32,11084.73
2018-10-05,11041.24,11041.24,10742.65,10798.92
2018-10-08,10808.56,10879.14,10672.45,10825.32
2018-10-09,10878.3,10893.82,10749.89,10770.95
2018-10-10,10833.01,10957.67,10792.82,10932.12
2018-10-11,10704.66,10806.41,10602.52,10709.28
2018-10-12,10803.15,10963.76,10801.36,10940.38
2018-10-15,11018.07,11026.73,10886.83,10989.67
2018-10-16,11035.37,11090.65,11006.08,11074.4
2018-10-17,11189.48,11205.61,10919,10933.7
2018-10-19,10875.7,10875.7,10728.3,10775.01
2018-10-22,10885.01,10902.19,10704.35,10718.81
2018-10-23,10654.76,10698.51,10582.45,10620.12
2018-10-24,10734.1,10767.19,10604.3,10703.86
2018-10-25,10626.12,10637.24,10549.07,10593
2018-10-26,10617.5,10617.6,10471.79,10493.16
2018-10-29,10557.03,10749.45,10492.3,10725.41
2018-10-30,10733.91,10766.74,10652.71,10679.66
2018-10-31,10701.97,10877.26,10587.09,10871.49
2018-11-01,10936.33,10943.4,10827.98,10864.04
2018-11-02,10963.02,11095.44,10940.88,11033.9
2018-11-05,11063.23,11063.74,10964.58,11003.79
2018-11-06,11040.89,11078.15,10969.69,11002.21
2018-11-07,11095.42,11098.31,11065.71,11078.82
2018-11-09,11091.27,11099.59,11018.9,11062.46
2018-11-12,11097.33,11122.36,10936.67,10953.1
2018-11-13,10963.56,11069.43,10913.36,11056.81
2018-11-14,11115.55,11128.23,11010.84,11055.67
2018-11-15,11055.62,11127.07,11038.67,11091.79
2018-11-16,11131.1,11179.92,11111.18,11158.48
2018-11-19,11215.77,11258.82,11173.67,11244.76
2018-11-20,11236.45,11236.69,11125.47,11140.82
2018-11-21,11162.87,11163.53,11041.27,11074.55
2018-11-22,11100.42,11126.09,10991.31,11003.8
2018-11-26,11052.35,11123.68,10972.4,11112.1
2018-11-27,11123.8,11178.17,11085.35,11167.34
2018-11-28,11200.57,11254.63,11193.39,11213.62
